Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
06/27/2016,2:05,ROCHESTER,79F,65F,62%,SW,14mph,23mph,29.35in,0.0in,Cloudy
06/26/2016,8:31,ROCHESTER,74F,62F,66%,SW,8mph,0mph,29.52in,0.0in,Partly
06/26/2016,14:53,ROCHESTER,88F,62F,42%,SW,12mph,0mph,29.47in,0.0in,Mostly
06/26/2016,19:52,ROCHESTER,89F,60F,38%,SW,8mph,0mph,29.37in,0.0in,Mostly
06/26/2016,19:00,ROCHESTER,89F,60F,38%,SW,8mph,0mph,29.37in,0.0in,Mostly
06/26/2016,18:41,ROCHESTER,91F,61F,36%,SSW,13mph,20mph,29.39in,0.0in,Partly
06/26/2016,18:08,ROCHESTER,91F,61F,36%,SSW,13mph,20mph,29.39in,0.0in,Partly
06/26/2016,9:37,ROCHESTER,78F,62F,58%,SSW,10mph,0mph,29.51in,0.0in,Partly
06/25/2016,19:30,ROCHESTER,82F,53F,37%,NE,10mph,0mph,29.53in,0.0in,Mostly
06/25/2016,9:45,ROCHESTER,69F,56F,63%,CALM,0mph,0mph,29.57in,0.0in,Fair
06/25/2016,20:37,ROCHESTER,79F,50F,36%,NNE,8mph,0mph,29.53in,0.0in,Partly
06/25/2016,17:47,ROCHESTER,84F,53F,34%,NNE,15mph,0mph,29.53in,0.0in,Partly
06/25/2016,12:00,ROCHESTER,81F,54F,39%,VAR,3mph,0mph,29.57in,0.0in,Partly
06/25/2016,8:00,ROCHESTER,64F,54F,70%,S,3mph,0mph,29.56in,0.0in,Fair
06/25/2016,4:45,ROCHESTER,57F,52F,83%,WSW,3mph,0mph,29.52in,0.0in,Fair
06/25/2016,22:06,ROCHESTER,74F,53F,48%,E,3mph,0mph,29.51in,0.0in,Fair
06/25/2016,16:13,ROCHESTER,86F,56F,36%,NE,10mph,0mph,29.53in,0.0in,Partly
06/24/2016,12:15,ROCHESTER,78F,50F,37%,ESE,7mph,0mph,29.49in,0.0in,Fair
06/24/2016,19:07,ROCHESTER,78F,48F,35%,NE,10mph,0mph,29.48in,0.0in,Fair
06/24/2016,15:42,ROCHESTER,81F,51F,35%,ESE,14mph,0mph,29.47in,0.0in,Fair
06/24/2016,11:42,ROCHESTER,76F,51F,42%,VAR,6mph,0mph,29.49in,0.0in,Fair
06/24/2016,16:48,ROCHESTER,81F,52F,36%,NNE,16mph,0mph,29.47in,0.0in,Fair
06/24/2016,6:15,ROCHESTER,50F,46F,86%,SW,5mph,0mph,29.44in,0.0in,Fair
06/24/2016,16:15,ROCHESTER,81F,52F,36%,NNE,16mph,0mph,29.47in,0.0in,Fair
06/24/2016,19:20,ROCHESTER,78F,48F,35%,NE,10mph,0mph,29.48in,0.0in,Fair
06/24/2016,22:39,ROCHESTER,70F,48F,46%,ESE,3mph,0mph,29.50in,0.0in,Fair
06/24/2016,8:15,ROCHESTER,59F,48F,67%,WSW,5mph,0mph,29.47in,0.0in,Fair
06/23/2016,7:56,ROCHESTER,58F,51F,78%,WSW,3mph,0mph,29.30in,0.0in,Mostly
06/23/2016,11:45,ROCHESTER,73F,49F,42%,VAR,6mph,0mph,29.30in,0.0in,Fair
06/23/2016,11:05,ROCHESTER,73F,49F,42%,VAR,6mph,0mph,29.30in,0.0in,Fair
06/23/2016,18:48,ROCHESTER,71F,31F,23%,NE,5mph,0mph,29.31in,0.0in,Cloudy
06/23/2016,10:09,ROCHESTER,72F,51F,48%,NNE,6mph,0mph,29.30in,0.0in,Fair
06/23/2016,12:05,ROCHESTER,75F,49F,40%,N,7mph,0mph,29.30in,0.0in,Mostly
06/23/2016,17:44,ROCHESTER,71F,32F,24%,NE,9mph,0mph,29.30in,0.0in,Cloudy
06/23/2016,8:35,ROCHESTER,62F,53F,72%,SW,5mph,0mph,29.30in,0.0in,Mostly
06/23/2016,19:39,ROCHESTER,72F,39F,30%,NE,8mph,0mph,29.31in,0.0in,Cloudy
06/23/2016,13:52,ROCHESTER,73F,52F,48%,NNE,14mph,0mph,29.30in,0.0in,Mostly
06/23/2016,21:08,ROCHESTER,67F,45F,45%,CALM,0mph,0mph,29.33in,0.0in,Fair
06/23/2016,11:25,ROCHESTER,73F,49F,42%,VAR,6mph,0mph,29.30in,0.0in,Fair
06/23/2016,11:41,ROCHESTER,73F,49F,42%,VAR,6mph,0mph,29.30in,0.0in,Fair
06/23/2016,11:34,ROCHESTER,73F,49F,42%,VAR,6mph,0mph,29.30in,0.0in,Fair
06/23/2016,9:37,ROCHESTER,68F,51F,55%,VAR,3mph,0mph,29.30in,0.0in,Fair
06/23/2016,8:55,ROCHESTER,62F,53F,72%,SW,5mph,0mph,29.30in,0.0in,Mostly
06/23/2016,7:50,ROCHESTER,58F,51F,78%,WSW,3mph,0mph,29.30in,0.0in,Mostly
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
06/22/2016,15:18,ROCHESTER,74F,45F,35%,NW,12mph,0mph,29.32in,0.0in,Fair
06/22/2016,7:45,ROCHESTER,62F,53F,72%,WSW,3mph,0mph,29.23in,0.0in,Cloudy
06/22/2016,15:02,ROCHESTER,74F,45F,35%,NW,12mph,0mph,29.32in,0.0in,Fair
06/22/2016,1:29,ROCHESTER,64F,51F,63%,WSW,8mph,0mph,29.21in,0.0in,Cloudy
06/22/2016,11:00,ROCHESTER,72F,45F,38%,NNW,13mph,23mph,29.30in,0.0in,Fair
06/22/2016,13:40,ROCHESTER,73F,45F,37%,NW,21mph,28mph,29.32in,0.0in,Fair
06/22/2016,21:25,ROCHESTER,67F,45F,45%,SSE,6mph,0mph,29.32in,0.0in,Mostly
06/22/2016,18:00,ROCHESTER,73F,44F,35%,N,10mph,0mph,29.29in,0.0in,Mostly
06/22/2016,13:13,ROCHESTER,73F,45F,37%,NW,21mph,28mph,29.32in,0.0in,Fair
06/22/2016,11:03,ROCHESTER,72F,45F,38%,NNW,13mph,23mph,29.30in,0.0in,Fair
06/22/2016,18:05,ROCHESTER,73F,44F,35%,N,10mph,0mph,29.29in,0.0in,Mostly
06/22/2016,14:07,ROCHESTER,74F,44F,34%,NNW,15mph,24mph,29.31in,0.0in,Fair
06/22/2016,14:21,ROCHESTER,74F,44F,34%,NNW,15mph,24mph,29.31in,0.0in,Fair
06/22/2016,17:31,ROCHESTER,74F,44F,34%,VAR,5mph,17mph,29.30in,0.0in,Partly
06/22/2016,16:15,ROCHESTER,74F,44F,34%,NW,13mph,23mph,29.31in,0.0in,Fair
06/22/2016,16:01,ROCHESTER,74F,44F,34%,NW,13mph,23mph,29.31in,0.0in,Fair
06/22/2016,7:21,ROCHESTER,62F,53F,72%,WSW,3mph,0mph,29.23in,0.0in,Cloudy
06/22/2016,9:23,ROCHESTER,68F,52F,56%,WNW,13mph,0mph,29.27in,0.0in,Partly
06/22/2016,16:36,ROCHESTER,74F,44F,34%,NW,13mph,23mph,29.31in,0.0in,Fair
06/22/2016,19:26,ROCHESTER,73F,44F,35%,NNE,8mph,0mph,29.29in,0.0in,Mostly
06/22/2016,5:30,ROCHESTER,60F,54F,80%,SW,6mph,0mph,29.20in,0.0in,Light
06/22/2016,18:36,ROCHESTER,73F,44F,35%,N,10mph,0mph,29.29in,0.0in,Mostly
06/22/2016,14:16,ROCHESTER,74F,44F,34%,NNW,15mph,24mph,29.31in,0.0in,Fair
06/21/2016,9:20,ROCHESTER,64F,48F,56%,WSW,10mph,0mph,29.32in,0.0in,Fair
06/21/2016,9:18,ROCHESTER,64F,48F,56%,WSW,10mph,0mph,29.32in,0.0in,Fair
06/21/2016,20:10,ROCHESTER,77F,45F,32%,WNW,8mph,0mph,29.20in,0.0in,Mostly
06/21/2016,10:19,ROCHESTER,69F,45F,42%,W,10mph,0mph,29.32in,0.0in,Fair
06/21/2016,21:02,ROCHESTER,74F,46F,37%,WSW,8mph,0mph,29.21in,0.0in,Mostly
06/21/2016,5:05,ROCHESTER,60F,52F,75%,W,7mph,0mph,29.30in,0.0in,Fair
06/21/2016,8:10,ROCHESTER,60F,47F,62%,WSW,9mph,0mph,29.31in,0.0in,Fair
06/21/2016,18:31,ROCHESTER,77F,44F,31%,WNW,9mph,22mph,29.23in,0.0in,Mostly
06/21/2016,14:42,ROCHESTER,76F,44F,32%,NW,13mph,23mph,29.29in,0.0in,Partly
06/21/2016,15:14,ROCHESTER,78F,44F,30%,WNW,13mph,0mph,29.27in,0.0in,Fair
06/21/2016,18:20,ROCHESTER,77F,44F,31%,WNW,9mph,22mph,29.23in,0.0in,Mostly
06/21/2016,17:24,ROCHESTER,78F,42F,28%,NW,9mph,0mph,29.25in,0.0in,Fair
06/20/2016,12:22,ROCHESTER,88F,63F,43%,W,14mph,25mph,29.42in,0.0in,Mostly
06/20/2016,10:30,ROCHESTER,82F,61F,49%,SW,14mph,0mph,29.47in,0.0in,Mostly
06/20/2016,10:19,ROCHESTER,82F,61F,49%,SW,14mph,0mph,29.47in,0.0in,Mostly
06/20/2016,22:08,ROCHESTER,86F,64F,48%,WSW,17mph,26mph,29.17in,0.0in,Mostly
06/20/2016,17:06,ROCHESTER,90F,66F,45%,WSW,25mph,33mph,29.27in,0.0in,Mostly
06/20/2016,17:30,ROCHESTER,90F,66F,45%,WSW,25mph,33mph,29.27in,0.0in,Mostly
06/20/2016,17:27,ROCHESTER,90F,66F,45%,WSW,25mph,33mph,29.27in,0.0in,Mostly
06/20/2016,13:12,ROCHESTER,90F,65F,43%,WSW,16mph,24mph,29.38in,0.0in,Mostly
06/20/2016,23:10,ROCHESTER,84F,65F,53%,W,14mph,31mph,29.18in,0.0in,Light
06/20/2016,17:30,ROCHESTER,90F,66F,45%,WSW,25mph,33mph,29.27in,0.0in,Mostly
06/20/2016,13:50,ROCHESTER,90F,65F,43%,WSW,16mph,24mph,29.38in,0.0in,Mostly
06/20/2016,7:16,ROCHESTER,69F,58F,68%,SW,9mph,0mph,29.53in,0.0in,Fair
06/20/2016,18:30,ROCHESTER,88F,63F,43%,WSW,21mph,30mph,29.23in,0.0in,Mostly
06/20/2016,12:21,ROCHESTER,88F,63F,43%,W,14mph,25mph,29.42in,0.0in,Mostly
06/20/2016,16:35,ROCHESTER,90F,68F,48%,WSW,21mph,30mph,29.32in,0.0in,Cloudy
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
06/20/2016,12:33,ROCHESTER,88F,63F,43%,W,14mph,25mph,29.42in,0.0in,Mostly
06/20/2016,12:03,ROCHESTER,88F,63F,43%,W,14mph,25mph,29.42in,0.0in,Mostly
06/19/2016,14:31,ROCHESTER,89F,51F,27%,W,8mph,0mph,29.63in,0.0in,Mostly
06/19/2016,15:15,ROCHESTER,91F,51F,25%,W,10mph,0mph,29.61in,0.0in,Partly
06/19/2016,14:37,ROCHESTER,89F,51F,27%,W,8mph,0mph,29.63in,0.0in,Mostly
06/19/2016,21:35,ROCHESTER,78F,54F,43%,WSW,10mph,0mph,29.58in,0.0in,Fair
06/19/2016,10:34,ROCHESTER,79F,56F,45%,SW,10mph,0mph,29.68in,0.0in,Mostly
06/19/2016,20:15,ROCHESTER,83F,50F,32%,W,13mph,0mph,29.58in,0.0in,Partly
06/19/2016,2:20,ROCHESTER,64F,54F,70%,SW,6mph,0mph,29.64in,0.0in,Fair
06/19/2016,16:06,ROCHESTER,91F,52F,26%,W,13mph,20mph,29.59in,0.0in,Partly
06/19/2016,2:30,ROCHESTER,64F,54F,70%,SW,6mph,0mph,29.64in,0.0in,Fair
06/19/2016,2:51,ROCHESTER,64F,54F,70%,SW,6mph,0mph,29.64in,0.0in,Fair
06/19/2016,16:50,ROCHESTER,91F,52F,26%,W,13mph,20mph,29.59in,0.0in,Partly
06/19/2016,1:00,ROCHESTER,64F,54F,70%,WSW,3mph,0mph,29.65in,0.0in,Fair
06/19/2016,12:39,ROCHESTER,87F,49F,27%,W,9mph,0mph,29.66in,0.0in,Cloudy
06/19/2016,14:46,ROCHESTER,89F,51F,27%,W,8mph,0mph,29.63in,0.0in,Mostly
06/18/2016,23:18,ROCHESTER,70F,54F,57%,SW,5mph,0mph,29.64in,0.0in,Fair
06/18/2016,2:44,ROCHESTER,59F,53F,81%,WSW,7mph,0mph,29.48in,0.0in,Fair
06/18/2016,3:50,ROCHESTER,60F,51F,72%,WSW,7mph,0mph,29.49in,0.0in,Fair
06/18/2016,21:55,ROCHESTER,75F,55F,50%,WSW,5mph,0mph,29.60in,0.0in,Mostly
06/18/2016,15:04,ROCHESTER,87F,39F,18%,VAR,5mph,0mph,29.62in,0.0in,Partly
06/18/2016,11:10,ROCHESTER,82F,53F,37%,CALM,0mph,0mph,29.62in,0.0in,Fair
06/18/2016,8:50,ROCHESTER,66F,52F,60%,WSW,7mph,0mph,29.57in,0.0in,Fair
06/18/2016,0:42,ROCHESTER,70F,54F,57%,SW,5mph,0mph,29.64in,0.0in,Fair
06/18/2016,22:14,ROCHESTER,74F,52F,46%,SW,5mph,0mph,29.62in,0.0in,Partly
06/18/2016,12:53,ROCHESTER,85F,50F,30%,N,6mph,0mph,29.63in,0.0in,Fair
06/18/2016,8:10,ROCHESTER,66F,52F,60%,WSW,7mph,0mph,29.57in,0.0in,Fair
06/18/2016,22:00,ROCHESTER,74F,52F,46%,SW,5mph,0mph,29.62in,0.0in,Partly
06/18/2016,4:19,ROCHESTER,59F,51F,75%,WSW,3mph,0mph,29.50in,0.0in,Fair
06/18/2016,19:34,ROCHESTER,85F,42F,22%,NNE,5mph,0mph,29.60in,0.0in,Partly
06/18/2016,16:21,ROCHESTER,87F,38F,18%,NNE,7mph,0mph,29.61in,0.0in,Partly
06/18/2016,2:35,ROCHESTER,59F,53F,81%,WSW,7mph,0mph,29.48in,0.0in,Fair
06/18/2016,0:00,ROCHESTER,70F,54F,57%,SW,5mph,0mph,29.64in,0.0in,Fair
06/17/2016,13:10,ROCHESTER,82F,43F,25%,VAR,5mph,0mph,29.42in,0.0in,Fair
06/17/2016,7:35,ROCHESTER,64F,53F,67%,N,7mph,0mph,29.34in,0.0in,Mostly
06/17/2016,12:14,ROCHESTER,81F,46F,29%,NE,8mph,0mph,29.43in,0.0in,Fair
06/17/2016,16:35,ROCHESTER,84F,40F,21%,CALM,0mph,0mph,29.41in,0.0in,Fair
06/17/2016,12:00,ROCHESTER,81F,46F,29%,NE,8mph,0mph,29.43in,0.0in,Fair
06/17/2016,18:16,ROCHESTER,85F,39F,20%,CALM,0mph,0mph,29.41in,0.0in,Fair
06/17/2016,14:50,ROCHESTER,82F,41F,23%,SSE,6mph,0mph,29.42in,0.0in,Fair
06/17/2016,20:18,ROCHESTER,80F,45F,29%,SW,5mph,0mph,29.43in,0.0in,Fair
06/17/2016,21:23,ROCHESTER,76F,49F,38%,CALM,0mph,0mph,29.44in,0.0in,Fair
06/17/2016,12:20,ROCHESTER,81F,46F,29%,NE,8mph,0mph,29.43in,0.0in,Fair
06/17/2016,23:40,ROCHESTER,66F,52F,60%,CALM,0mph,0mph,29.46in,0.0in,Fair
06/17/2016,16:49,ROCHESTER,84F,40F,21%,CALM,0mph,0mph,29.41in,0.0in,Fair
06/17/2016,16:30,ROCHESTER,84F,40F,21%,CALM,0mph,0mph,29.41in,0.0in,Fair
06/17/2016,15:45,ROCHESTER,84F,41F,22%,NNW,6mph,0mph,29.41in,0.0in,Fair
06/17/2016,20:09,ROCHESTER,80F,45F,29%,SW,5mph,0mph,29.43in,0.0in,Fair
06/17/2016,15:22,ROCHESTER,84F,41F,22%,NNW,6mph,0mph,29.41in,0.0in,Fair
06/17/2016,17:01,ROCHESTER,84F,38F,19%,CALM,0mph,0mph,29.42in,0.0in,Fair
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
06/17/2016,19:19,ROCHESTER,83F,40F,22%,S,5mph,0mph,29.41in,0.0in,Fair
06/17/2016,10:53,ROCHESTER,74F,55F,52%,NE,5mph,0mph,29.41in,0.0in,Fair
06/17/2016,17:13,ROCHESTER,84F,38F,19%,CALM,0mph,0mph,29.42in,0.0in,Fair
06/17/2016,20:48,ROCHESTER,80F,45F,29%,SW,5mph,0mph,29.43in,0.0in,Fair
06/17/2016,9:49,ROCHESTER,71F,53F,53%,NE,7mph,0mph,29.39in,0.0in,Fair
06/17/2016,17:31,ROCHESTER,84F,38F,19%,CALM,0mph,0mph,29.42in,0.0in,Fair
06/17/2016,15:45,ROCHESTER,84F,41F,22%,NNW,6mph,0mph,29.41in,0.0in,Fair
06/16/2016,18:44,ROCHESTER,80F,51F,36%,ENE,14mph,0mph,29.15in,0.0in,Mostly
06/16/2016,6:45,ROCHESTER,65F,57F,75%,S,6mph,0mph,29.19in,0.0in,Cloudy
06/16/2016,16:46,ROCHESTER,79F,60F,52%,E,14mph,0mph,29.14in,0.0in,Cloudy
06/16/2016,9:40,ROCHESTER,71F,60F,68%,NE,3mph,0mph,29.20in,0.0in,Cloudy
06/16/2016,8:29,ROCHESTER,66F,58F,75%,ESE,3mph,0mph,29.20in,0.0in,Cloudy
06/16/2016,19:59,ROCHESTER,78F,49F,36%,ENE,20mph,23mph,29.15in,0.0in,Cloudy
06/16/2016,12:51,ROCHESTER,79F,61F,54%,ESE,12mph,0mph,29.19in,0.0in,Mostly
06/16/2016,21:54,ROCHESTER,74F,45F,35%,ENE,13mph,0mph,29.19in,0.0in,Mostly
06/16/2016,17:33,ROCHESTER,79F,57F,47%,ENE,15mph,21mph,29.14in,0.0in,Mostly
06/16/2016,18:00,ROCHESTER,80F,51F,36%,ENE,14mph,0mph,29.15in,0.0in,Mostly
06/16/2016,16:27,ROCHESTER,79F,60F,52%,E,14mph,0mph,29.14in,0.0in,Cloudy
06/16/2016,10:36,ROCHESTER,74F,60F,62%,E,10mph,0mph,29.19in,0.0in,Mostly
06/16/2016,17:40,ROCHESTER,79F,57F,47%,ENE,15mph,21mph,29.14in,0.0in,Mostly
06/16/2016,3:41,ROCHESTER,64F,58F,80%,SW,5mph,0mph,29.20in,0.0in,Cloudy
06/16/2016,11:55,ROCHESTER,76F,60F,58%,E,10mph,0mph,29.19in,0.0in,Mostly
06/16/2016,17:38,ROCHESTER,79F,57F,47%,ENE,15mph,21mph,29.14in,0.0in,Mostly
06/16/2016,7:05,ROCHESTER,66F,58F,75%,CALM,0mph,0mph,29.19in,0.0in,Cloudy
06/15/2016,18:10,ROCHESTER,76F,52F,43%,ENE,8mph,0mph,29.24in,0.0in,Cloudy
06/15/2016,16:01,ROCHESTER,81F,54F,39%,NE,14mph,0mph,29.25in,0.0in,Mostly
06/15/2016,7:50,ROCHESTER,52F,47F,83%,CALM,0mph,0mph,29.40in,0.0in,Fair
06/15/2016,9:08,ROCHESTER,64F,50F,60%,S,3mph,0mph,29.39in,0.0in,Mostly
06/15/2016,0:00,ROCHESTER,70F,50F,49%,CALM,0mph,0mph,29.24in,0.0in,Cloudy
06/15/2016,13:36,ROCHESTER,79F,50F,36%,0,mph0,mph29.32,in0.0,inMostly,Cloudy
06/15/2016,6:00,ROCHESTER,47F,45F,93%,WSW,3mph,0mph,29.41in,0.0in,Partly
06/15/2016,6:30,ROCHESTER,47F,45F,93%,WSW,3mph,0mph,29.41in,0.0in,Partly
06/15/2016,14:45,ROCHESTER,81F,49F,33%,VAR,5mph,0mph,29.29in,0.0in,Mostly
06/15/2016,11:45,ROCHESTER,75F,46F,36%,SE,6mph,0mph,29.36in,0.0in,Mostly
06/15/2016,16:39,ROCHESTER,81F,54F,39%,NE,14mph,0mph,29.25in,0.0in,Mostly
06/15/2016,23:18,ROCHESTER,70F,50F,49%,CALM,0mph,0mph,29.24in,0.0in,Cloudy
06/15/2016,13:01,ROCHESTER,79F,50F,36%,0,mph0,mph29.32,in0.0,inMostly,Cloudy
06/15/2016,10:00,ROCHESTER,71F,51F,49%,VAR,3mph,0mph,29.38in,0.0in,Partly
06/15/2016,15:28,ROCHESTER,83F,54F,37%,NNE,10mph,0mph,29.27in,0.0in,Mostly
06/15/2016,12:09,ROCHESTER,78F,46F,32%,VAR,5mph,0mph,29.34in,0.0in,Partly
06/15/2016,8:47,ROCHESTER,58F,49F,72%,SW,5mph,0mph,29.40in,0.0in,Mostly
06/14/2016,20:40,ROCHESTER,67F,35F,31%,NNE,8mph,0mph,29.41in,0.0in,Fair
06/14/2016,15:03,ROCHESTER,68F,39F,35%,VAR,6mph,0mph,29.43in,0.0in,Fair
06/14/2016,17:30,ROCHESTER,70F,40F,33%,N,5mph,0mph,29.42in,0.0in,Fair
06/14/2016,0:00,ROCHESTER,55F,41F,59%,CALM,0mph,0mph,29.42in,0.0in,Fair
06/14/2016,7:38,ROCHESTER,49F,46F,90%,WSW,3mph,0mph,29.45in,0.0in,Mostly
06/14/2016,10:21,ROCHESTER,61F,39F,44%,N,3mph,0mph,29.47in,0.0in,Mostly
06/14/2016,7:25,ROCHESTER,49F,46F,90%,WSW,3mph,0mph,29.45in,0.0in,Mostly
06/14/2016,17:15,ROCHESTER,70F,40F,33%,N,5mph,0mph,29.42in,0.0in,Fair
06/14/2016,0:10,ROCHESTER,55F,41F,59%,CALM,0mph,0mph,29.42in,0.0in,Fair
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
06/14/2016,12:00,ROCHESTER,65F,38F,37%,VAR,5mph,0mph,29.46in,0.0in,Fair
06/14/2016,21:06,ROCHESTER,64F,30F,28%,CALM,0mph,0mph,29.41in,0.0in,Fair
06/14/2016,9:15,ROCHESTER,59F,43F,55%,CALM,0mph,0mph,29.47in,0.0in,Fair
06/14/2016,19:51,ROCHESTER,71F,40F,32%,N,8mph,0mph,29.40in,0.0in,Fair
06/14/2016,16:26,ROCHESTER,69F,41F,36%,NE,7mph,0mph,29.42in,0.0in,Fair
06/14/2016,8:39,ROCHESTER,55F,44F,67%,WSW,3mph,0mph,29.47in,0.0in,Mostly
06/14/2016,13:13,ROCHESTER,68F,40F,36%,N,6mph,0mph,29.46in,0.0in,Partly
06/14/2016,14:38,ROCHESTER,67F,42F,40%,ENE,13mph,17mph,29.44in,0.0in,Fair
06/14/2016,17:46,ROCHESTER,70F,40F,33%,N,5mph,0mph,29.42in,0.0in,Fair
06/14/2016,19:55,ROCHESTER,71F,40F,32%,N,8mph,0mph,29.40in,0.0in,Fair
06/14/2016,7:15,ROCHESTER,49F,46F,90%,WSW,3mph,0mph,29.45in,0.0in,Mostly
06/14/2016,14:10,ROCHESTER,67F,42F,40%,ENE,13mph,17mph,29.44in,0.0in,Fair
06/13/2016,16:34,ROCHESTER,63F,50F,63%,W,14mph,0mph,29.35in,0.0in,Cloudy
06/13/2016,6:59,ROCHESTER,52F,47F,83%,NW,6mph,0mph,29.41in,0.0in,Cloudy
06/13/2016,7:05,ROCHESTER,53F,47F,80%,WNW,5mph,0mph,29.43in,0.0in,Cloudy
06/13/2016,12:35,ROCHESTER,60F,48F,64%,NW,13mph,0mph,29.40in,0.0in,Cloudy
06/13/2016,9:01,ROCHESTER,55F,47F,74%,NW,7mph,0mph,29.44in,0.0in,Cloudy
06/13/2016,1:35,ROCHESTER,55F,46F,72%,N,10mph,0mph,29.40in,0.0in,Cloudy
06/13/2016,7:05,ROCHESTER,53F,47F,80%,WNW,5mph,0mph,29.43in,0.0in,Cloudy
06/13/2016,16:50,ROCHESTER,63F,50F,63%,W,14mph,0mph,29.35in,0.0in,Cloudy
06/13/2016,10:17,ROCHESTER,56F,47F,72%,WNW,8mph,0mph,29.44in,0.0in,Cloudy
06/13/2016,17:15,ROCHESTER,63F,51F,65%,W,12mph,0mph,29.34in,0.0in,Cloudy
06/13/2016,15:40,ROCHESTER,64F,50F,60%,WNW,9mph,0mph,29.34in,0.0in,Cloudy
06/13/2016,1:05,ROCHESTER,55F,46F,72%,N,10mph,0mph,29.40in,0.0in,Cloudy
06/13/2016,15:50,ROCHESTER,64F,50F,60%,WNW,9mph,0mph,29.34in,0.0in,Cloudy
06/13/2016,22:05,ROCHESTER,58F,44F,60%,NW,12mph,0mph,29.31in,0.0in,Mostly
06/12/2016,0:00,ROCHESTER,58F,47F,67%,N,9mph,0mph,29.38in,0.0in,Mostly
06/12/2016,0:00,ROCHESTER,58F,47F,67%,N,9mph,0mph,29.38in,0.0in,Mostly
06/12/2016,9:43,ROCHESTER,61F,40F,46%,NW,20mph,31mph,29.25in,0.0in,Fair
06/12/2016,16:29,ROCHESTER,66F,45F,47%,NNW,21mph,32mph,29.28in,0.0in,Partly
06/12/2016,19:01,ROCHESTER,62F,45F,53%,NW,13mph,24mph,29.34in,0.0in,Cloudy
06/12/2016,3:02,ROCHESTER,71F,46F,41%,NW,16mph,26mph,29.12in,0.0in,Partly
06/12/2016,0:55,ROCHESTER,58F,47F,67%,N,9mph,0mph,29.38in,0.0in,Mostly
06/12/2016,14:25,ROCHESTER,64F,44F,48%,NW,20mph,30mph,29.28in,0.0in,Mostly
06/12/2016,11:19,ROCHESTER,64F,43F,46%,NW,22mph,26mph,29.26in,0.0in,Fair
06/12/2016,21:26,ROCHESTER,60F,46F,60%,NNW,15mph,26mph,29.37in,0.0in,Mostly
06/11/2016,22:00,ROCHESTER,82F,63F,52%,W,14mph,0mph,29.14in,0.0in,Mostly
06/11/2016,21:21,ROCHESTER,84F,64F,51%,W,13mph,22mph,29.15in,0.0in,Mostly
06/11/2016,16:30,ROCHESTER,84F,67F,56%,WNW,16mph,29mph,29.16in,0.0in,Mostly
06/11/2016,2:31,ROCHESTER,53F,44F,71%,S,3mph,0mph,29.39in,0.0in,Fair
06/11/2016,2:54,ROCHESTER,53F,44F,71%,S,3mph,0mph,29.39in,0.0in,Fair
06/11/2016,22:36,ROCHESTER,82F,63F,52%,W,14mph,0mph,29.14in,0.0in,Mostly
06/11/2016,12:31,ROCHESTER,78F,66F,66%,W,21mph,30mph,29.18in,0.0in,Cloudy
06/11/2016,14:52,ROCHESTER,81F,67F,62%,W,14mph,22mph,29.17in,0.0in,Cloudy
06/10/2016,13:15,ROCHESTER,69F,38F,32%,NNW,12mph,20mph,29.51in,0.0in,Mostly
06/10/2016,20:29,ROCHESTER,70F,36F,29%,NNW,3mph,0mph,29.43in,0.0in,Mostly
06/10/2016,20:54,ROCHESTER,70F,36F,29%,NNW,3mph,0mph,29.43in,0.0in,Mostly
06/10/2016,11:57,ROCHESTER,65F,40F,40%,NNW,9mph,0mph,29.52in,0.0in,Partly
06/10/2016,21:00,ROCHESTER,63F,41F,45%,CALM,0mph,0mph,29.43in,0.0in,Mostly
06/10/2016,23:18,ROCHESTER,59F,42F,53%,CALM,0mph,0mph,29.42in,0.0in,Fair
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
06/10/2016,10:14,ROCHESTER,63F,43F,48%,WNW,3mph,0mph,29.51in,0.0in,Fair
06/10/2016,17:47,ROCHESTER,70F,36F,29%,NW,10mph,0mph,29.47in,0.0in,Mostly
06/10/2016,9:15,ROCHESTER,60F,45F,57%,CALM,0mph,0mph,29.50in,0.0in,Fair
06/10/2016,9:52,ROCHESTER,60F,45F,57%,CALM,0mph,0mph,29.50in,0.0in,Fair
06/10/2016,8:44,ROCHESTER,56F,44F,64%,WNW,6mph,0mph,29.48in,0.0in,Fair
06/10/2016,19:00,ROCHESTER,71F,36F,28%,NNW,7mph,0mph,29.45in,0.0in,Mostly
06/10/2016,14:39,ROCHESTER,70F,37F,30%,NW,14mph,0mph,29.50in,0.0in,Mostly
06/10/2016,16:14,ROCHESTER,71F,37F,29%,NW,10mph,0mph,29.47in,0.0in,Cloudy
